iteration,reward_mean,length_mean,games,loss
158500,21.5,24.5,8,0.022210396826267242
159000,20.75,23.75,8,0.021081913262605667
159500,23.0,26.0,8,0.017398767173290253
160000,22.12,25.12,8,0.02612827904522419
160500,23.62,26.62,8,0.011390356346964836
161000,24.25,27.25,8,0.049451589584350586
161500,23.25,26.25,8,0.021668829023838043
162000,20.75,23.75,8,0.014533806592226028
162500,22.88,25.88,8,0.015343859791755676
163000,23.38,26.38,8,0.016184082254767418
163500,23.5,26.5,8,0.017461519688367844
164000,24.0,27.0,8,0.018200939521193504
164500,20.62,23.62,8,0.017494358122348785
165000,24.75,27.75,8,0.015633516013622284
165500,17.38,20.38,8,0.011046180501580238
166000,21.38,24.38,8,0.01513624470680952
166500,21.62,24.62,8,0.011112409643828869
167000,21.62,24.62,8,0.020476799458265305
167500,23.62,26.62,8,0.01860344037413597
168000,19.5,22.5,8,0.016576778143644333
168500,22.25,25.25,8,0.04804928973317146
169000,23.88,26.88,8,0.01991237886250019
169500,22.62,25.62,8,0.02270163968205452
170000,22.5,25.5,8,0.024986499920487404
170500,19.88,22.88,8,0.024213144555687904
171000,22.5,25.5,8,0.022547028958797455
171500,22.88,25.88,8,0.018361249938607216
172000,22.12,25.12,8,0.01915639638900757
172500,21.0,24.0,8,0.027717242017388344
173000,26.12,29.12,8,0.01728346198797226
173500,24.12,27.12,8,0.020636705681681633
174000,21.25,24.25,8,0.027025435119867325
174500,20.12,23.12,8,0.0135655477643013
175000,23.88,26.88,8,0.016192907467484474
175500,23.25,26.25,8,0.02133747562766075
176000,21.62,24.62,8,0.013599904254078865
176500,24.25,27.25,8,0.037548091262578964
177000,26.5,29.5,8,0.02535882405936718
177500,27.12,30.12,8,0.017227884382009506
178000,19.5,22.5,8,0.01489769946783781
178500,20.25,23.25,8,0.04567163810133934
179000,22.56,25.56,9,0.022182203829288483
179500,22.62,25.62,8,0.013220228254795074
180000,16.75,19.75,8,0.01770395040512085
180500,20.5,23.5,8,0.026772648096084595
181000,19.62,22.62,8,0.03170405328273773
181500,22.25,25.25,8,0.02483000047504902
182000,22.38,25.38,8,0.02642037719488144
182500,21.62,24.62,8,0.02218278869986534
183000,20.25,23.25,8,0.026083936914801598
183500,25.5,28.5,8,0.031049806624650955
184000,24.75,27.75,8,0.05021638423204422
184500,21.62,24.62,8,0.020011987537145615
185000,24.75,27.75,8,0.010296464897692204
185500,22.75,25.75,8,0.04257947951555252
186000,22.12,25.12,8,0.034415218979120255
186500,21.12,24.12,8,0.01661895029246807
187000,24.88,27.88,8,0.03232990950345993
187500,19.62,22.62,8,0.01550573855638504
188000,21.25,24.25,8,0.021602589637041092
188500,23.62,26.62,8,0.008885008282959461
189000,24.88,27.88,8,0.014609185978770256
189500,19.12,22.12,8,0.020417673513293266
190000,20.62,23.62,8,0.02724948339164257
190500,22.5,25.5,8,0.017824070528149605
191000,23.25,26.25,8,0.017970215529203415
191500,22.5,25.5,8,0.02069830894470215
192000,22.0,25.0,8,0.01373741403222084
192500,14.67,17.67,9,0.0261533185839653
193000,22.5,25.5,8,0.020514093339443207
193500,21.5,24.5,8,0.0241436455398798
194000,20.5,23.5,8,0.01398867554962635
194500,22.12,25.12,8,0.02051856368780136
195000,25.5,28.5,8,0.022717591375112534
195500,26.88,29.88,8,0.016479846090078354
196000,21.0,24.0,8,0.02528076246380806
196500,21.62,24.62,8,0.03265748172998428
197000,25.0,28.0,8,0.013431025668978691
197500,23.5,26.5,8,0.01437243539839983
198000,21.88,24.88,8,0.02997753582894802
198500,27.62,30.62,8,0.023999817669391632
199000,24.75,27.75,8,0.04058700054883957
199500,22.62,25.62,8,0.05509284883737564
200000,25.0,28.0,8,0.020725341513752937
200500,20.25,23.25,8,0.029736289754509926
201000,23.62,26.62,8,0.021979782730340958
201500,23.62,26.62,8,0.021795272827148438
202000,22.88,25.88,8,0.015364062041044235
202500,23.38,26.38,8,0.010989085771143436
203000,23.75,26.75,8,0.019856614992022514
203500,28.12,31.12,8,0.03812514990568161
204000,24.12,27.12,8,0.027154939249157906
204500,21.62,24.62,8,0.018417801707983017
205000,14.5,17.5,8,0.027764545753598213
205500,22.75,25.75,8,0.01408783532679081
206000,21.12,24.12,8,0.02329418435692787
206500,18.11,21.11,9,0.021396920084953308
207000,23.12,26.12,8,0.018820442259311676
207500,26.38,29.38,8,0.013913457281887531
208000,22.62,25.62,8,0.024874906986951828
208500,22.25,25.25,8,0.03187154233455658
